Date,Close,Volume,SMA_10,EMA_10,nav
28-01-2023,17905.78984,278305.7143,240.3614557,240.644417,241.6633286
29-01-2023,17886.41127,278171.4286,240.3573371,240.4179922,240.4573571
30-01-2023,17648.94922,432400,240.17695,239.9750217,238.3057
31-01-2023,17662.15039,398300,240.45648,240.3459821,240.1795
01-02-2023,17616.30078,512900,240.59608,240.3829781,238.6565
02-02-2023,17610.40039,490100,241.04801,240.7666399,238.5389
03-02-2023,17854.05078,424100,241.64289,241.2616932,240.2285
04-02-2023,17820.06702,281514.2857,241.3523625,241.0078734,239.7421125
05-02-2023,17806.83131,281217.1429,241.6440988,241.2891535,240.1653375
06-02-2023,17764.59961,282500,241.99573,241.4912917,240.3577
07-02-2023,17721.5,354400,242.30722,241.743201,240.1548
08-02-2023,17871.69922,291000,242.59554,242.096179,241.5153
09-02-2023,17893.44922,260900,242.51084,242.2252632,241.6915
10-02-2023,17856.5,232000,242.49473,242.3438773,242.1411
11-02-2023,17772.39551,291814.7059,242.3689538,242.2354265,241.4640875
12-02-2023,17763.60432,293223.5294,242.3912275,242.4068352,241.9803375
13-02-2023,17770.90039,231300,242.41184,242.3889389,241.101
14-02-2023,17929.84961,244500,242.38071,242.6751475,241.5755
15-02-2023,18015.84961,229300,242.25502,242.9195137,243.1758
16-02-2023,18035.84961,230200,242.17392,242.8625611,244.4877
17-02-2023,17944.19922,208100,241.8887,242.5014192,243.7569
18-02-2023,17668.91906,296473.5294,242.2242188,242.40203,242.659475
19-02-2023,17635.20875,297394.1176,242.3009538,242.34482,242.71315
20-02-2023,17844.59961,174600,241.93765,242.2224234,243.4726
21-02-2023,17826.69922,198200,242.18537,241.9446064,243.038
22-02-2023,17554.30078,204000,242.56054,241.7016301,240.6683
23-02-2023,17511.25,240800,243.02572,241.931259,241.5304
24-02-2023,17465.80078,209400,243.23721,242.0203387,241.3122
25-02-2023,17560.9543,291197.1429,242.7779863,242.1814917,241.686825
26-02-2023,17546.37573,288047.0588,242.8811525,242.2914177,241.4571875
27-02-2023,17392.69922,246400,243.18428,242.1777029,240.7897
28-02-2023,17303.94922,420900,243.07998,242.486148,240.3186
01-03-2023,17450.90039,272900,243.01314,242.9678253,242.3648
02-03-2023,17321.90039,310700,242.76298,243.1018309,241.6355
03-03-2023,17594.34961,356200,242.69605,243.4276823,244.2464
04-03-2023,17463.91853,264364.7059,242.6467729,242.8645398,243.1563571
